model,engine,stage,n_total,n_train,n_test,accuracy,macro_f1
multimodal,easyocr,diacritization,459,367,92,0.717391304347826,0.44823232323232326
multimodal,easyocr,normalization,459,367,92,0.7282608695652174,0.4584615384615385
multimodal,easyocr,ocr,461,368,93,0.6774193548387096,0.45366996356064554
multimodal,tesseract,diacritization,458,366,92,0.7282608695652174,0.4637806637806638
multimodal,tesseract,normalization,458,366,92,0.6847826086956522,0.4477453580901856
multimodal,tesseract,ocr,460,368,92,0.6521739130434783,0.44017375279715676
text_only,easyocr,diacritization,459,367,92,0.3804347826086957,0.2729594163246694
text_only,easyocr,normalization,459,367,92,0.6086956521739131,0.3050125313283208
text_only,easyocr,ocr,459,367,92,0.5217391304347826,0.33360323886639676
text_only,tesseract,diacritization,458,366,92,0.5760869565217391,0.3866069205875031
text_only,tesseract,normalization,458,366,92,0.5869565217391305,0.42572578936215305
text_only,tesseract,ocr,458,366,92,0.6521739130434783,0.3312476996687523
